id,time,ao5,ao12
1,1.29,0,0
2,1.29,0,0
3,1.90,0,0
4,2.09,0,0
5,2.65,0,0
6,2.97,2.29,0
7,3.58,2.6,0
8,0.96,2.45,0
9,1.48,2.33,0
10,1.46,2.09,0
11,3.37,2.17,0
12,1.90,1.83,2.08
13,2.81,2.20,2.21
14,3.08,2.52,2.35
15,0.50,2.33,2.24
16,0.00,1.66,2.06
17,0.00,1.28,1.84
18,0.00,0.72,1.60
19,0.00,0.10,1.30
20,0.00,0.00,1.22
21,0.00,0.00,1.09
22,0.00,0.00,0.97
23,0.00,0.00,0.69
24,0.00,0.00,0.53
25,0.00,0.00,0.30
26,0.00,0.00,0.04
27,0.00,0.00,0.00
28,0.00,0.00,0.00
29,0.00,0.00,0.00
30,0.00,0.00,0.00
31,0.00,0.00,0.00
32,0.00,0.00,0.00
33,0.00,0.00,0.00
34,0.00,0.00,0.00
35,0.00,0.00,0.00
36,0.00,0.00,0.00
37,0.00,0.00,0.00
38,0.00,0.00,0.00
39,0.00,0.00,0.00
40,0.00,0.00,0.00
41,0.00,0.00,0.00
42,0.00,0.00,0.00
43,0.00,0.00,0.00
44,0.00,0.00,0.00
45,0.05,0.01,0.00
46,0.00,0.01,0.00
47,0.00,0.01,0.00
48,0.00,0.01,0.00
49,4.66,0.94,0.39
50,1.94,1.32,0.55
51,3.19,1.96,0.82
52,20.56,6.07,2.53
53,20.17,10.10,4.21
54,16.58,12.49,5.60
55,14.15,14.93,6.77
56,13.93,17.08,7.94
57,18.45,16.39,9.47
